time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-26T17:59:37.100Z,-31.7548,-72.0692,10,4.6,mwr,,132,1.14,0.79,us,us100049q7,2016-03-18T01:13:02.040Z,"86 km W of Illapel, Chile",earthquake,5.7,1.8,0.073,18,reviewed,us,us
2015-12-26T17:58:08.250Z,-31.7499,-72.1791,11.66,5,mww,,77,1.169,0.93,us,us100049py,2016-11-10T22:06:02.030Z,"96 km W of Illapel, Chile",earthquake,4.2,1.4,,,reviewed,us,us
2015-12-25T15:11:49.920Z,-30.6116,-71.3954,35,4.5,mb,,79,0.215,1.47,us,us100049h4,2016-03-18T01:13:00.040Z,"Near the coast of Coquimbo, Chile",earthquake,4.5,1.9,0.145,14,reviewed,us,us
2015-12-25T09:19:42.260Z,-31.7532,-71.9375,35,3.8,mwr,,189,1.106,0.7,us,us100049gd,2016-03-18T01:13:00.040Z,"73 km W of Illapel, Chile",earthquake,5.4,2,0.052,36,reviewed,us,us
2015-12-25T02:39:29.370Z,-31.7819,-72.2358,24.07,4.1,mb,,191,1.218,0.72,us,us10004bac,2016-03-18T01:13:00.040Z,"102 km W of Illapel, Chile",earthquake,4.9,10,0.371,2,reviewed,us,us
2015-12-23T09:15:38.010Z,-31.0463,-71.4404,44.27,4.6,mb,,139,0.407,1,us,us1000490c,2016-03-12T02:29:23.040Z,"54 km SSW of Ovalle, Chile",earthquake,5.7,5.8,0.122,20,reviewed,us,us
2015-12-22T18:46:40.100Z,-30.8031,-71.2966,53.46,4.2,mwr,,87,0.318,0.88,us,us100048vz,2016-03-12T02:29:22.040Z,"24 km SSW of Ovalle, Chile",earthquake,4.7,2.9,0.068,21,reviewed,us,us
2015-12-21T17:04:52.530Z,-31.5182,-71.5963,42.98,4.5,mb,,142,0.842,0.63,us,us10004999,2016-03-12T02:29:20.040Z,"42 km WNW of Illapel, Chile",earthquake,7,8,0.221,6,reviewed,us,us
2015-12-19T19:25:05.560Z,-30.6053,-71.3057,48.34,5.8,mww,,16,0.291,0.96,us,us100048du,2022-05-03T19:06:48.766Z,"10 km W of Ovalle, Chile",earthquake,5.7,2.9,,,reviewed,us,us
2015-12-18T02:34:37.030Z,-30.5744,-71.6532,30.12,4.1,mwr,,142,0.1,0.82,us,us10004821,2016-03-12T02:29:15.040Z,"43 km W of Ovalle, Chile",earthquake,5.2,4.6,0.046,46,reviewed,us,us
2015-12-17T22:56:17.940Z,-30.5969,-71.6546,32.88,4.1,mwr,,187,0.078,0.71,us,us1000481f,2016-03-12T02:29:15.040Z,"43 km W of Ovalle, Chile",earthquake,5.4,7,0.059,28,reviewed,us,us
2015-12-17T22:02:34.460Z,-31.4683,-71.886,28.43,4,ml,,193,0.82,0.53,us,us100048rv,2016-03-12T02:29:15.040Z,"70 km WNW of Illapel, Chile",earthquake,4.8,12.1,,,reviewed,us,guc
2015-12-17T15:44:06.590Z,-30.5243,-72.0978,10,4.4,mb,,151,0.426,1.29,us,us100048rm,2016-03-12T02:29:14.040Z,"86 km W of Ovalle, Chile",earthquake,3.2,1.9,0.24,5,reviewed,us,us
2015-12-17T06:55:57.000Z,-30.382,-71.682,25.1,4,mwr,,,,0.69,us,us100047v2,2016-03-12T02:29:14.040Z,"52 km WNW of Ovalle, Chile",earthquake,7,5.3,0.053,34,reviewed,guc,us
2015-12-17T04:18:59.300Z,-30.7809,-71.4062,46.58,4.2,mwr,,89,0.224,0.55,us,us100047ul,2016-03-12T02:29:14.040Z,"28 km SW of Ovalle, Chile",earthquake,5.2,4.9,0.056,31,reviewed,us,us
2015-12-15T20:37:57.660Z,-30.7846,-71.5554,35.47,4.4,mb,,62,0.129,1.11,us,us20004hed,2016-03-05T01:42:08.040Z,"39 km WSW of Ovalle, Chile",earthquake,4,7.2,0.179,11,reviewed,us,us
2015-12-15T04:22:57.240Z,-30.6318,-71.8964,19.78,4,mb,,192,0.229,0.69,us,us20004h9m,2016-03-05T01:42:07.040Z,"66 km W of Ovalle, Chile",earthquake,6,5.3,0.212,6,reviewed,us,us
2015-12-14T09:12:17.240Z,-30.3784,-72.1819,10,4.5,mb,,150,0.556,1.21,us,us20004h0s,2016-03-05T01:42:06.040Z,"93 km WSW of Coquimbo, Chile",earthquake,4.3,1.7,0.164,11,reviewed,us,us
2015-12-13T17:31:07.690Z,-30.5592,-72.0787,10,4.8,mwr,,173,0.399,1.06,us,us20004gx7,2016-03-05T01:42:05.040Z,"84 km W of Ovalle, Chile",earthquake,4.7,1.9,,,reviewed,us,guc
2015-12-13T14:25:44.000Z,-30.358,-72.087,13.2,4.1,mb,,,,1,us,us20004gw8,2016-03-05T01:42:05.040Z,"84 km WSW of Coquimbo, Chile",earthquake,5.4,2.5,0.371,2,reviewed,guc,us
2015-12-13T12:08:29.000Z,-30.632,-71.606,32.1,4,mb,,,,0.84,us,us20004gvz,2016-03-05T01:42:05.040Z,"39 km W of Ovalle, Chile",earthquake,6.8,5.2,0.26,4,reviewed,guc,us
2015-12-13T01:17:39.890Z,-31.6932,-72.0804,10.42,4.1,mb,,195,1.085,0.83,us,us20004gub,2016-03-05T01:42:04.040Z,"86 km W of Illapel, Chile",earthquake,7.7,7,0.261,4,reviewed,us,us
2015-12-12T20:49:36.290Z,-30.6938,-71.6559,33.64,4.2,mb,,189,0.026,0.96,us,us20004gst,2016-03-05T01:42:04.040Z,"44 km WSW of Ovalle, Chile",earthquake,6.1,1.6,0.263,4,reviewed,us,us
2015-12-12T10:09:01.570Z,-31.6797,-72.0767,10,4.1,mb,,156,1.071,0.52,us,us20004hk6,2016-03-05T01:42:04.040Z,"86 km W of Illapel, Chile",earthquake,5.4,1.8,0.185,8,reviewed,us,us
2015-12-12T04:42:53.560Z,-31.2028,-72.5979,2.92,4.4,mb,,151,0.981,0.82,us,us20004gnv,2016-03-05T01:42:03.040Z,"143 km WNW of Illapel, Chile",earthquake,5.8,5.4,0.162,11,reviewed,us,us
